class	url
FileSystemDirectoryHandle	https://wicg.github.io/file-system-access/
FileSystemFileHandle	https://wicg.github.io/file-system-access/
FileSystemHandle	https://wicg.github.io/file-system-access/
FileSystemWritableFileStream	https://wicg.github.io/file-system-access/
TrustedHTML	https://w3c.github.io/webappsec-trusted-types/explainer.html
TrustedScript	https://w3c.github.io/webappsec-trusted-types/explainer.html
TrustedScriptURL	https://w3c.github.io/webappsec-trusted-types/explainer.html
TrustedTypePolicy	https://w3c.github.io/webappsec-trusted-types/explainer.html
TrustedTypePolicyFactory	https://w3c.github.io/webappsec-trusted-types/explainer.html
XRAnchor	https://immersive-web.github.io/anchors/
XRAnchorSet	https://immersive-web.github.io/anchors/
XRDOMOverlayState	https://immersive-web.github.io/dom-overlays/
XRHitTestResult	https://immersive-web.github.io/anchors/
XRHitTestSource	https://immersive-web.github.io/hit-test/
XRLayer	https://immersive-web.github.io/layers/
XRRay	https://immersive-web.github.io/hit-test/
XRTransientInputHitTestResult	https://immersive-web.github.io/hit-test/
XRTransientInputHitTestSource	https://immersive-web.github.io/hit-test/
CompressionStream	https://wicg.github.io/compression/
DecompressionStream	https://wicg.github.io/compression/
U2F	https://fidoalliance.org/specs/fido-u2f-v1.0-ps-20141009/fido-u2f-javascript-api-ps-20141009.html
RTCEncodedAudioFrame	https://w3c.github.io/webrtc-insertable-streams/
RTCEncodedVideoFrame	https://w3c.github.io/webrtc-insertable-streams/
TextEvent	https://www.w3.org/TR/2003/WD-DOM-Level-3-Events-20030331/ecma-script-binding.html
RemotePlayback	https://www.w3.org/TR/remote-playback/
PerformanceElementTiming	https://wicg.github.io/element-timing/
OffscreenCanvasRenderingContext2D	https://html.spec.whatwg.org/multipage/canvas.html#the-offscreen-2d-rendering-context
MediaKeyError	https://www.w3.org/TR/encrypted-media/	missing
FragmentDirective	https://wicg.github.io/scroll-to-text-fragment/
EventCounts	https://wicg.github.io/event-timing/
ElementInternals	https://html.spec.whatwg.org/multipage/custom-elements.html
